taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2538254	Gerronema strombodes (Berk. & Mont.) Singer	2538254	Gerronema strombodes (Berk. & Mont.) Singer	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Marasmiaceae	4179	Gerronema	2519216	Gerronema strombodes	2538254	NE
12227854	Collybiopsis subnuda (Ellis ex Peck) R.H.Petersen	12227854	Collybiopsis subnuda (Ellis ex Peck) R.H.Petersen	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Omphalotaceae	3305518	Collybiopsis	2531845	Collybiopsis subnuda	12227854	NE
5256859	Calycina citrina (Hedw.) Gray	5256859	Calycina citrina (Hedw.) Gray	6	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Leotiomycetes	179	Helotiales	1052	Pezizellaceae	3298457	Calycina	11056280	Calycina citrina	5256859	NE
2515392	Puccinia violae (Schumach.) DC.	2515392	Puccinia violae (Schumach.) DC.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Pucciniomycetes	270	Pucciniales	1126	Pucciniaceae	3251	Puccinia	9533895	Puccinia violae	2515392	NE
12219829	Aureoboletus betula (Schwein.) M.Kuo & B.Ortiz	12219829	Aureoboletus betula (Schwein.) M.Kuo & B.Ortiz	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Aureoboletus	2519406	Aureoboletus betula	12219829	NE
2620019	Scorias spongiosa (Schwein.) Fr.	2620019	Scorias spongiosa (Schwein.) Fr.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Dothideomycetes	183	Capnodiales	1262	Capnodiaceae	4794	Scorias	2620018	Scorias spongiosa	2620019	NE
9655343	Amanita lavendula (Coker) Tulloss, K.W.Hughes, Rodrig.-Cayc. & Kudzma	9655343	Amanita lavendula (Coker) Tulloss, K.W.Hughes, Rodrig.-Cayc. & Kudzma	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Amanitaceae	4171	Amanita	6005964	Amanita lavendula	9655343	NE
5243258	Lycoperdon perlatum Pers.	5243258	Lycoperdon perlatum Pers.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Lycoperdaceae	3297360	Lycoperdon	9367003	Lycoperdon perlatum	5243258	LC
7356946	Exsudoporus frostii (J.L.Russell) Vizzini, Simonini & Gelardi	9685748	Butyriboletus frostii (J.L.Russell) G.Wu, Kuan Zhao & Zhu L.Yang	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Butyriboletus	8405404	Butyriboletus frostii	9685748	NE
8338709	Amanita parcivolvata (Peck) E.-J.Gilbert	8338709	Amanita parcivolvata (Peck) E.-J.Gilbert	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Amanitaceae	4171	Amanita	6005964	Amanita parcivolvata	8338709	NE
2607718	Cladonia pleurota (Flörke) Schaer.	2607718	Cladonia pleurota (Flörke) Schaer.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecanorales	1048	Cladoniaceae	8328	Cladonia	2607519	Cladonia pleurota	2607718	NE
9791500	Cantharellus velutinus Buyck & V.Hofst.	9791500	Cantharellus velutinus Buyck & V.Hofst.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Cantharellales	1300	Hydnaceae	8460	Cantharellus	9623860	Cantharellus velutinus	9791500	LC
2527302	Xeromphalina campanella (Batsch) Kühner & Maire	2527302	Xeromphalina campanella (Batsch) Kühner & Maire	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Mycenaceae	4180	Xeromphalina	2527268	Xeromphalina campanella	2527302	NE
2512856	Exidia	2512856	Exidia	1	GENUS	DOUBTFUL	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Auriculariales	1062	Auriculariaceae	8788	Exidia	2512856			
10683432	Helicogloea compressa (Ellis & Everh.) Malysheva & K.Põldmaa	10683432	Helicogloea compressa (Ellis & Everh.) Malysheva & K.Põldmaa	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Atractiellomycetes	155	Atractiellales	528	Phleogenaceae	3271	Helicogloea	8639599	Helicogloea compressa	10683432	NE
5244486	Clavulinopsis fusiformis (Sowerby) Corner	5244486	Clavulinopsis fusiformis (Sowerby) Corner	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Clavariaceae	8442	Clavulinopsis	2521976	Clavulinopsis fusiformis	5244486	NE
2553113	Stereum subtomentosum Pouzar	2553113	Stereum subtomentosum Pouzar	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Stereaceae	3279	Stereum	2513764	Stereum subtomentosum	2553113	NE
2584352	Ascocoryne sarcoides (Jacq.) J.W.Groves & D.E.Wilson	2584352	Ascocoryne sarcoides (Jacq.) J.W.Groves & D.E.Wilson	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Leotiomycetes	179	Helotiales	1052	Gelatinodiscaceae	3554335	Ascocoryne	2584341	Ascocoryne sarcoides	2584352	NE
9674121	Calostoma lutescens (Schwein.) Burnap, 1897	9674121	Calostoma lutescens (Schwein.) Burnap, 1897	6	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Calostomataceae	4189	Calostoma	2524283	Calostoma lutescens	9674121	NE
8908488	Marasmius rotula (Scop.) Fr.	8908488	Marasmius rotula (Scop.) Fr.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Marasmiaceae	4179	Marasmius	2526678	Marasmius rotula	8908488	NE
7596307	Suillus spraguei (Berk. & M.A.Curtis) Kuntze	7596307	Suillus spraguei (Berk. & M.A.Curtis) Kuntze	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Suillaceae	8455	Suillus	7414997	Suillus spraguei	7596307	NE
10852503	Apioperdon pyriforme (Schaeff.) Vizzini	10852503	Apioperdon pyriforme (Schaeff.) Vizzini	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Lycoperdaceae	3297360	Apioperdon	10676978	Apioperdon pyriforme	10852503	NE
2538788	Hygrophorus chrysodon (Batsch) Fr.	2538788	Hygrophorus chrysodon (Batsch) Fr.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Hygrophoraceae	4176	Hygrophorus	2525706	Hygrophorus chrysodon	2538788	NE
11108459	Porpidia albocaerulescens (Wulfen) Hertel & Knoph	11108459	Porpidia albocaerulescens (Wulfen) Hertel & Knoph	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecideales	10848190	Lecideaceae	8296	Porpidia	2603408	Porpidia albocaerulescens	11108459	NE
5495627	Mitrula elegans Berk., 1875	5495627	Mitrula elegans Berk., 1875	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Leotiomycetes	179	Helotiales	1052	Sclerotiniaceae	8385	Mitrula	6006059	Mitrula elegans	5495627	NE
2586103	Lachnum virgineum (Batsch) P.Karst.	2586103	Lachnum virgineum (Batsch) P.Karst.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Leotiomycetes	179	Helotiales	1052	Lachnaceae	3295205	Lachnum	2581043	Lachnum virgineum	2586103	NE
10804605	Phaeotremella frondosa (Fr.) Spirin & Malysheva	10804605	Phaeotremella frondosa (Fr.) Spirin & Malysheva	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Tremellomycetes	149	Tremellales	1123	Tremellaceae	3827	Phaeotremella	2518397	Phaeotremella frondosa	10804605	NE
11986601	Phylloscypha phyllogena (Cooke) Van Vooren	11986601	Phylloscypha phyllogena (Cooke) Van Vooren	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Pezizomycetes	316	Pezizales	1057	Pezizaceae	8399	Phylloscypha	11363249	Phylloscypha phyllogena	11986601	NE
7250044	Acarospora fuscata (Ach.) Arnold	7250044	Acarospora fuscata (Ach.) Arnold	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Acarosporales	1271	Acarosporaceae	8347	Acarospora	2600495	Acarospora fuscata	7250044	NE
2606702	Rhizoplaca subdiscrepans (Nyl.) R.Sant.	10768632	Sedelnikovaea subdiscrepans (Nyl.) S.Y.Kondr., Lőkös & Farkas	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecanorales	1048	Lecanoraceae	4828	Sedelnikovaea	10835625	Sedelnikovaea subdiscrepans	10768632	NE
2548515	Tyromyces chioneus (Fr.) P.Karst.	2548515	Tyromyces chioneus (Fr.) P.Karst.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Incrustoporiaceae	3292643	Tyromyces	2518649	Tyromyces chioneus	2548515	NE
2550493	Artomyces pyxidatus (Pers.) Jülich	2550493	Artomyces pyxidatus (Pers.) Jülich	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Auriscalpiaceae	3283	Artomyces	2550456	Artomyces pyxidatus	2550493	NE
