gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4177431603	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/309013132/original.jpeg	https://www.inaturalist.org/photos/309013132					2023-08-09T23:59:59Z	Kevin Barry		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kevin Barry
4177131891	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/307928002/original.jpeg	https://www.inaturalist.org/photos/307928002					2023-08-07T02:38:24Z	peng1pete		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	peng1pete
4172126859	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305105380/original.jpg	https://www.inaturalist.org/photos/305105380					2023-07-29T17:37:01Z	TroutFly		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	TroutFly
4172126859	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305105358/original.jpg	https://www.inaturalist.org/photos/305105358					2023-07-29T01:54:37Z	TroutFly		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	TroutFly
4172074325	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/307029456/original.jpg	https://www.inaturalist.org/photos/307029456					2023-08-03T20:01:36Z	Robert Bosiljevac		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Robert Bosiljevac
4171969304	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/304020882/original.jpeg	https://www.inaturalist.org/photos/304020882					2023-07-25T22:04:13Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171969304	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/304020776/original.jpeg	https://www.inaturalist.org/photos/304020776					2023-07-25T22:04:13Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171969304	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/304020792/original.jpeg	https://www.inaturalist.org/photos/304020792					2023-07-26T01:03:52Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171969304	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/304020841/original.jpeg	https://www.inaturalist.org/photos/304020841					2023-07-25T22:04:13Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171969304	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/304020815/original.jpeg	https://www.inaturalist.org/photos/304020815					2023-07-26T01:03:46Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171969304	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/304020862/original.jpeg	https://www.inaturalist.org/photos/304020862					2023-07-26T01:04:23Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171730259	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/307540829/original.jpeg	https://www.inaturalist.org/photos/307540829					2023-07-22T20:56:01Z	Crystal Davidson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Crystal Davidson
4171701329	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305271789/original.jpeg	https://www.inaturalist.org/photos/305271789					2023-07-29T20:13:13Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171701329	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305271771/original.jpeg	https://www.inaturalist.org/photos/305271771					2023-07-29T23:13:13Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171701329	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305271807/original.jpeg	https://www.inaturalist.org/photos/305271807					2023-07-29T23:13:10Z	Cherie Cornmesser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cherie Cornmesser
4171663993	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305192306/original.jpg	https://www.inaturalist.org/photos/305192306					2023-07-29T16:45:58Z	Zack Graham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Zack Graham
4171663993	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305192268/original.jpg	https://www.inaturalist.org/photos/305192268					2023-07-29T16:45:58Z	Zack Graham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Zack Graham
4171438761	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305515879/original.jpg	https://www.inaturalist.org/photos/305515879					2023-07-30T14:55:14Z	Julie Travaglini		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Julie Travaglini
4171438761	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305515771/original.jpg	https://www.inaturalist.org/photos/305515771					2023-07-30T14:55:14Z	Julie Travaglini		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Julie Travaglini
4171438761	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/305515812/original.jpg	https://www.inaturalist.org/photos/305515812					2023-07-30T14:55:14Z	Julie Travaglini		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Julie Travaglini
